CustomerID,Age,Gender,Region,Annual_Income,Membership_Years,Engagement_Score,Avg_Session_Minutes,Purchase_Frequency,Discount_Usage_Rate,Total_Spend,Purchased
CUST1051,67,Male,West,80554.11,2,39.2,6.55,0,0.31,0.0,0
CUST1453,69,Female,North,69433.43,9,46.7,5.03,3,0.5,3807.12,1
CUST1144,18,Male,North,68756.54,1,53.6,10.54,3,0.14,3507.49,1
CUST1351,63,Male,North,43368.23,3,53.8,30.27,1,0.74,2948.26,1
CUST1512,46,Female,North,54250.81,3,92.5,36.74,1,0.68,2203.35,1
CUST1080,31,Male,East,48256.1,8,27.2,1.64,3,0.58,2317.2,1
CUST1048,21,Female,East,89306.33,3,70.1,2.25,2,0.76,3017.77,1
CUST1548,41,Male,South,45233.11,9,48.8,1.37,1,0.05,1736.44,1
CUST1177,45,Male,South,47829.28,3,65.5,1.11,1,0.97,3256.61,1
CUST1229,19,Female,North,46082.99,3,20.3,3.39,2,0.15,1825.61,1
CUST1327,63,Male,South,61005.58,5,69.1,2.19,4,0.52,2084.53,1
CUST1124,25,Male,West,63938.41,10,51.7,3.98,4,0.76,3371.84,1
CUST1665,48,Female,North,79989.63,0,35.0,2.97,3,0.02,2361.8,1
CUST1061,64,Female,South,35166.61,0,24.9,10.99,5,0.31,4221.41,1
CUST1146,43,Female,West,70874.74,3,27.6,22.64,3,0.91,1494.45,1
CUST1264,36,Male,South,44590.35,11,28.1,14.89,2,0.48,3350.16,1
CUST1362,47,Male,East,61688.69,8,71.9,1.5,4,0.51,2421.24,1
CUST1737,49,Male,East,60022.55,1,49.2,9.49,2,0.63,1372.71,1
CUST1238,61,Male,North,66091.88,3,31.4,10.98,2,0.1,1748.6,1
CUST1728,30,Male,East,42025.77,10,70.2,2.83,3,0.86,2352.41,1
CUST1514,45,Female,East,45245.82,1,66.8,3.33,4,0.23,3150.03,1
CUST1346,65,Female,South,53758.35,2,,1.93,0,0.72,946.48,1
CUST1163,47,Female,South,51594.26,2,40.6,18.07,4,0.44,3828.77,1
CUST1121,45,Female,East,70115.45,11,44.4,7.98,5,0.61,3719.95,1
CUST1439,68,Male,West,65221.36,8,72.2,1.83,8,0.08,5166.77,1
CUST1498,62,Male,North,64804.01,7,75.2,5.17,2,0.77,1624.6,1
CUST1533,40,Female,North,43755.28,9,54.0,13.33,1,0.93,1465.06,1
CUST1041,54,Female,East,91944.15,9,76.0,13.39,5,0.03,3790.93,1
CUST1324,42,Female,South,57995.47,1,77.3,9.14,3,0.51,3437.22,1
CUST1028,61,Female,South,45677.58,6,39.5,6.77,1,0.02,1959.67,0
CUST1195,69,Female,East,83494.55,4,26.7,1.35,4,0.75,4053.03,1
CUST1554,44,Male,South,21758.1,8,34.8,2.05,2,0.23,1228.26,0
CUST1469,69,Male,West,28002.94,6,51.6,6.92,1,0.96,2083.71,0
CUST1627,47,Female,East,47367.31,2,34.1,1.04,3,0.17,3590.27,1
CUST1045,26,Female,West,90303.46,9,43.6,15.35,0,0.04,3545.83,1
CUST1304,36,Male,West,24521.21,11,83.3,26.99,3,0.68,2794.79,1
CUST1108,25,Female,West,48703.89,3,42.4,5.49,1,0.24,1563.52,1
CUST1673,64,Male,West,52488.9,2,22.1,7.58,3,0.7,2642.13,0
CUST1692,55,Male,East,52057.59,3,82.7,12.03,1,0.56,2912.4,1
CUST1666,22,Male,South,84879.06,10,26.6,1.12,3,0.09,3167.48,1
CUST1487,40,Male,North,51387.17,2,35.5,17.3,4,0.38,3481.39,1
CUST1614,56,Female,East,64325.2,2,13.5,7.23,7,0.72,4131.63,1
CUST1155,30,Female,West,44120.54,9,39.9,12.99,2,0.27,2658.18,0
CUST1081,48,Male,North,40263.81,8,90.3,17.49,4,0.08,3929.78,1
CUST1457,60,Female,South,71705.76,10,89.3,2.69,4,0.51,3926.87,1
CUST1678,34,Male,West,59827.9,4,53.4,1.83,2,0.18,606.26,1
CUST1646,48,Male,North,79919.96,3,98.4,1.91,1,0.57,2277.84,1
CUST1574,-30,Female,South,29329.74,7,58.2,9.43,5,0.93,3666.02,1
CUST1693,36,Female,North,34386.81,5,7.1,7.59,5,0.52,799.18,1
CUST1636,66,Male,West,46185.41,10,36.9,13.27,5,0.93,4348.35,1
CUST1612,35,Male,West,57632.46,1,59.8,1.75,6,0.19,4508.61,1
CUST1490,18,Female,West,50761.78,6,62.6,22.54,2,0.46,2455.75,1
CUST1209,41,Male,East,58280.33,5,32.1,4.74,2,0.93,2316.48,1
CUST1237,19,Female,South,42572.81,1,59.3,5.29,2,0.05,1572.37,1
CUST1270,24,Male,North,46935.51,10,52.5,13.36,1,0.01,3665.62,1
CUST1467,62,Male,South,76495.28,7,65.8,23.56,1,0.22,3160.77,1
CUST1073,46,Female,North,73815.63,5,44.0,14.11,4,0.33,4273.98,1
CUST1522,29,Female,North,37158.75,0,50.4,4.78,0,0.34,1502.88,1
CUST1190,42,Male,South,39126.18,0,79.6,5.79,1,0.89,1658.08,1
CUST1078,27,Female,South,69148.61,10,34.3,3.35,0,0.49,1444.87,1
CUST1101,18,Female,West,25136.35,5,27.2,1.11,2,0.62,1917.85,1
CUST1732,50,Female,East,54070.69,1,36.5,5.37,3,0.75,3052.13,0
CUST1549,33,Female,East,70787.84,4,72.5,9.32,4,0.85,4652.61,1
CUST1322,42,Male,North,48394.48,4,64.8,4.96,4,0.15,4147.55,1
CUST1046,56,Female,South,50261.65,10,65.6,,2,0.99,2693.03,1
CUST1004,60,Female,North,,9,44.0,10.65,3,0.8,2918.66,1
CUST1492,64,Female,South,64919.22,11,85.4,3.62,4,0.04,2296.95,1
CUST1542,49,Female,North,75458.89,7,52.2,22.89,7,0.38,3558.03,1
CUST1288,24,Male,South,56145.4,8,53.4,9.79,1,0.19,19293.52,0
CUST1243,21,Male,East,50547.38,8,43.1,16.82,3,0.93,1719.35,1
CUST1695,65,Male,South,57072.73,5,10.7,5.41,1,0.58,1279.2,1
CUST1642,-26,Female,North,63680.89,5,57.4,4.53,5,0.27,2290.61,1
CUST1247,41,Female,East,54307.15,0,29.4,7.53,6,0.96,2800.44,1
CUST1371,52,Female,South,52870.18,7,74.7,25.55,5,0.69,3279.11,1
CUST1630,37,Female,West,65281.49,0,51.8,9.34,2,0.99,2002.22,1
CUST1733,55,Female,East,58538.48,0,45.3,8.36,2,0.63,2831.82,0
CUST1201,25,Male,South,88136.98,10,25.9,4.75,2,0.83,2288.03,1
CUST1715,56,Male,South,68893.88,9,70.3,1.43,2,0.56,3128.64,1
CUST1091,35,Female,South,56242.1,6,42.4,19.71,1,0.01,2439.04,0
CUST1086,40,Male,North,32931.05,4,40.2,9.0,1,0.75,1780.75,0
CUST1663,56,M,East,66206.01,5,33.5,4.51,3,0.01,1979.23,1
CUST1452,66,Male,South,43326.07,1,63.5,34.2,2,0.6,1588.58,1
CUST1333,53,Male,South,84173.82,7,49.8,8.71,2,0.36,2565.84,1
CUST1389,50,Female,South,43139.83,10,46.3,30.9,2,0.43,1705.54,1
CUST1126,51,Female,North,51287.7,7,66.6,3.23,3,0.9,2940.32,1
CUST1390,69,Male,West,66947.27,5,91.0,10.2,1,0.82,4311.68,1
CUST1016,20,Male,North,83730.57,7,86.6,5.42,3,0.46,3264.23,1
CUST1744,54,F,East,61163.7,9,49.5,6.74,1,0.5,2175.8,1
CUST1157,49,Female,South,57871.6,6,31.4,16.58,1,0.64,1094.98,0
CUST1397,42,Female,South,79623.74,2,15.2,10.4,4,0.78,1582.99,0
CUST1058,24,Female,South,63731.69,2,37.9,1.23,3,1.0,1113.9,1
CUST1328,35,Female,North,53842.73,5,92.2,7.92,3,0.3,2875.23,1
CUST1725,56,Female,South,57170.62,3,41.3,12.48,4,0.65,3282.58,1
CUST1450,39,Female,North,50588.75,9,73.0,17.66,6,0.27,2983.54,1
CUST1459,50,Male,East,55977.74,1,53.1,,1,0.28,588.14,1
CUST1415,57,Male,West,78353.31,3,53.8,23.83,3,0.32,4254.27,1
CUST1528,56,Female,South,33662.44,6,56.0,3.16,4,0.62,1929.03,1
CUST1352,47,Female,West,71404.77,6,59.3,1.58,1,0.81,2270.97,1
CUST1691,54,Female,North,44380.39,8,72.8,13.47,2,0.87,2385.27,1
CUST1206,68,Female,North,95629.57,3,68.4,4.81,3,0.32,3783.44,1
CUST1349,39,Female,East,60655.67,10,42.9,1.45,5,0.59,2811.84,1
CUST1759,40,M,East,30973.53,0,59.8,7.07,1,0.67,1679.77,0
CUST1530,50,Female,South,68867.65,8,53.3,24.15,4,0.3,3320.99,1
CUST1197,58,Male,East,67973.91,10,30.4,1.58,6,0.78,3974.53,1
CUST1632,42,Male,North,,0,21.9,2.56,6,0.93,3996.73,1
CUST1532,54,Female,South,,7,59.0,21.67,3,0.22,3229.17,1
CUST1491,18,Female,North,56838.32,0,25.5,11.83,2,0.49,1622.69,0
CUST1175,68,Male,East,69848.2,8,52.4,5.15,1,0.01,2024.0,1
CUST1373,34,Female,East,34855.93,8,43.2,8.03,1,0.3,1011.14,1
CUST1582,40,Female,South,60336.26,7,59.3,12.07,1,0.37,1747.83,1
CUST1246,55,Female,North,70129.49,3,59.0,11.96,5,0.34,2668.25,1
CUST1233,49,F,South,35211.6,1,46.6,16.32,4,0.43,1394.49,1
CUST1703,62,Female,West,72465.38,3,100.0,6.93,5,0.05,3009.76,1
CUST1039,69,Female,East,59326.32,9,54.3,16.72,2,0.46,2521.25,0
CUST1537,51,Male,West,54251.74,11,39.1,,4,0.37,2952.8,1
CUST1031,44,Male,East,100706.64,4,35.4,3.76,2,0.81,3829.56,1
CUST1395,20,Female,West,,6,29.3,2.79,0,0.04,1234.74,0
CUST1291,65,Male,North,15862.18,8,26.3,14.4,4,0.99,1043.53,1
CUST1180,62,Male,South,13125.67,1,40.2,1.13,2,0.97,0.0,1
CUST1689,22,Female,North,43160.09,0,27.7,3.02,5,0.39,2701.7,1
CUST1501,56,Male,North,66483.52,11,65.8,7.88,6,0.96,3198.18,1
CUST1112,34,Male,South,101319.85,0,60.8,13.46,2,0.51,5339.02,1
CUST1400,20,Male,South,57608.87,0,61.1,23.61,2,0.96,2901.74,1
CUST1132,52,Female,North,65194.12,11,61.2,5.29,4,0.96,3822.5,1
CUST1722,45,Female,West,35819.85,3,36.7,2.61,0,0.53,1732.64,0
CUST1194,44,Female,East,63632.46,8,66.8,23.85,1,0.16,2601.28,0
CUST1642,-26,Female,North,63680.89,5,57.4,4.53,5,0.27,2290.61,1
CUST1785,37,Male,North,77712.77,5,51.3,13.15,5,0.39,3013.82,1
CUST1449,42,Male,North,66459.37,8,62.6,2.53,2,0.17,3778.99,1
CUST1668,40,Male,North,59151.54,4,24.2,1.9,3,0.44,1939.44,1
CUST1690,46,Female,North,90118.62,7,64.7,17.52,4,0.34,4569.17,1
CUST1706,23,Male,North,83512.06,11,3.3,7.83,5,0.13,3644.87,0
CUST1266,20,Male,West,39324.44,3,41.7,13.0,4,0.15,3047.05,1
CUST1005,25,Male,South,54752.0,8,33.7,2.83,2,0.14,2181.83,0
CUST1290,43,Female,South,76999.66,4,55.9,12.03,1,0.08,2740.56,0
CUST1199,56,Male,South,47344.22,8,60.7,8.5,5,0.6,4642.64,1
CUST1475,33,Male,West,54945.77,9,39.0,2.0,1,0.78,1744.9,1
CUST1159,66,Female,West,66588.45,0,49.6,5.2,0,0.08,1787.72,1
CUST1458,54,Female,East,53252.21,7,33.8,4.41,1,0.97,2775.01,0
CUST1097,58,Male,North,40878.79,11,56.0,18.26,1,0.66,1339.01,1
CUST1329,19,Female,North,30831.28,4,26.6,7.74,2,0.42,1451.22,1
CUST1235,18,Male,North,,1,52.6,12.36,2,0.99,2721.53,1
CUST1675,26,Male,East,25376.02,4,44.1,1.69,1,0.64,1178.12,1
CUST1008,36,Female,East,75763.57,11,52.6,1.41,1,0.3,3020.79,1
CUST1127,50,Male,South,13996.89,5,38.9,3.49,6,0.82,1696.55,1
CUST1546,21,Male,South,56601.14,10,95.8,9.98,3,0.44,3086.41,1
CUST1429,24,Male,South,68131.77,4,42.8,4.64,3,0.02,1993.27,1
CUST1432,37,Male,South,59610.91,7,57.6,30.63,2,0.85,31130.32,1
CUST1064,34,Male,East,65084.06,4,55.7,21.62,2,0.53,3532.99,1
CUST1014,57,Female,North,60751.68,9,81.7,20.37,3,0.56,3817.63,1
CUST1170,46,Female,East,66761.2,3,0.0,2.09,2,0.85,1661.28,0
CUST1586,46,Male,South,38133.6,4,40.2,5.34,3,0.58,911.49,1
CUST1136,44,Male,South,47245.74,5,17.5,5.25,1,0.32,1772.84,0
CUST1448,68,Female,East,26356.34,8,57.8,1.03,2,0.69,1911.83,1
CUST1336,50,Male,North,36199.09,0,34.4,5.68,2,0.68,508.99,0
CUST1764,33,Male,North,70747.02,11,42.0,7.5,7,0.51,3935.51,1
CUST1570,27,Female,East,43300.48,10,60.5,8.55,3,0.47,2482.03,1
CUST1573,46,Male,East,30857.06,5,58.0,7.72,3,0.05,1905.56,1
CUST1314,66,Female,North,73091.84,2,54.3,10.8,1,0.72,3963.48,1
CUST1575,29,Female,South,65910.97,2,60.6,2.89,4,0.96,4442.67,1
CUST1293,66,Male,North,43767.47,2,61.3,28.35,2,0.92,2082.28,1
CUST1019,41,Female,West,79407.47,3,36.1,8.23,2,0.44,3371.28,1
CUST1727,20,Male,East,47308.86,9,47.3,3.58,4,0.47,4056.87,1
CUST1107,61,Male,West,58720.41,0,42.5,6.38,2,0.66,2120.78,1
CUST1323,52,Female,South,63503.14,6,53.7,1.57,5,0.86,5205.6,1
CUST1506,29,Female,East,46638.88,8,53.0,23.36,3,0.11,734.88,1
CUST1105,41,Male,North,31761.35,7,43.9,11.24,4,0.08,1083.99,1
CUST1099,32,Female,North,66719.17,3,64.9,5.96,4,0.57,3619.05,1
CUST1592,58,Female,South,49179.59,4,67.7,8.28,1,0.92,3293.62,1
CUST1707,48,Male,South,96540.25,9,77.0,2.19,3,0.45,5003.17,1
CUST1447,39,male,North,68392.69,8,78.3,3.99,5,0.86,3678.32,1
CUST1540,27,Female,South,24308.44,0,59.1,6.75,0,0.71,1897.83,1
CUST1109,41,Male,South,17007.41,2,49.7,11.8,1,0.28,67.72,0
CUST1356,68,Female,North,104693.71,1,45.5,5.27,3,0.3,2559.69,0
CUST1478,59,M,East,79808.95,5,41.2,,0,0.66,2191.02,1
CUST1251,23,Female,North,60633.53,2,56.7,5.79,3,0.59,1658.51,1
CUST1629,66,Male,North,18520.08,6,17.5,19.81,1,0.97,535.03,0
CUST1653,29,Female,North,56379.09,8,46.7,2.52,2,0.84,1835.9,1
CUST1461,61,Male,East,49031.44,4,43.8,9.73,4,0.23,3907.37,1
CUST1349,39,Female,East,60655.67,10,42.9,1.45,5,0.59,2811.84,1
CUST1030,66,Male,West,44861.34,5,44.8,36.16,2,0.22,2988.14,1
CUST1263,53,Male,North,75333.69,11,41.1,9.51,2,0.71,2637.21,1
CUST1358,44,Female,East,49181.22,11,30.8,1.35,0,0.15,779.54,0
CUST1232,54,Female,East,32771.0,2,35.2,12.91,5,0.66,1751.16,0
CUST1407,39,Male,East,44429.15,10,54.2,18.8,2,0.89,2331.38,1
CUST1239,43,Female,South,43652.57,1,6.9,4.9,0,0.88,1415.71,0
CUST1580,67,Female,East,71033.29,3,56.1,4.64,3,0.35,4215.35,1
CUST1730,66,Male,North,69493.47,4,21.4,10.1,5,0.92,3837.04,1
CUST1699,69,Female,South,,8,56.0,3.2,3,0.81,3053.97,1
CUST1116,50,Male,West,81629.81,6,61.4,5.28,1,0.74,2479.28,1
CUST1378,63,Male,South,61742.53,9,51.2,1.8,2,0.19,1885.7,0
CUST1068,21,Female,East,63420.03,1,64.7,23.85,3,0.11,3449.42,1
CUST1594,21,Male,East,28494.85,5,49.9,2.71,3,0.13,2288.91,1
CUST1319,37,Female,East,73282.37,6,25.1,,3,0.39,2063.56,1
CUST1111,68,Female,West,31462.17,7,48.7,7.07,2,0.58,3278.15,1
CUST1145,22,Male,South,55194.37,6,84.2,6.48,3,0.25,5028.62,1
CUST1419,65,Female,West,54097.85,3,62.8,34.76,1,0.04,1938.6,1
CUST1115,52,M,South,84645.08,8,91.1,4.39,2,0.29,3329.26,1
CUST1143,20,Female,East,57493.14,2,19.6,24.22,4,0.18,2105.39,1
CUST1236,36,Female,South,80148.96,2,21.8,3.93,2,0.66,2252.15,0
CUST1279,28,Female,East,90095.19,9,36.5,14.91,4,0.4,3711.32,1
CUST1355,62,Male,South,31010.6,3,63.4,14.3,2,0.69,0.0,1
CUST1350,39,Female,East,47364.12,4,37.7,9.27,4,0.56,3594.99,1
CUST1037,68,Male,North,69447.74,9,71.3,17.03,4,0.26,3943.65,1
CUST1568,50,Male,North,48336.23,8,77.2,21.45,2,0.89,2937.06,1
CUST1526,65,Male,West,76354.97,2,47.0,2.78,1,0.09,2234.44,0
CUST1224,54,Female,East,,7,1.0,4.91,3,0.45,1578.16,1
CUST1106,18,Female,South,26910.89,4,76.2,4.89,1,0.31,1274.13,1
CUST1456,32,Male,South,59382.92,11,43.1,4.62,1,0.4,2805.82,1
CUST1095,42,Male,East,59544.64,6,39.7,6.9,3,0.74,3177.75,1
CUST1685,26,Male,South,45052.7,6,54.4,13.24,6,0.46,3497.27,1
CUST1587,43,Male,North,84138.44,5,59.4,3.77,5,0.04,4153.96,1
CUST1442,45,Female,South,60165.53,1,44.3,8.68,4,0.88,2537.67,1
CUST1680,24,Female,South,39268.89,4,64.3,4.59,2,0.57,2186.85,1
CUST1330,52,Male,North,85625.73,9,75.6,17.22,5,0.3,5126.83,1
CUST1716,20,Male,East,46342.97,5,50.1,7.52,2,0.01,556.73,0
CUST1134,57,Female,South,23569.09,2,39.9,17.41,1,0.46,1216.25,0
CUST1317,55,Male,South,53257.13,11,48.4,6.73,4,0.27,2802.96,1
CUST1342,24,Female,North,79241.43,1,78.5,24.84,3,0.28,4577.74,1
CUST1215,69,Male,North,83216.7,4,68.3,5.44,4,0.92,4641.65,1
CUST1409,19,Female,South,52227.34,2,98.8,7.42,3,0.68,3823.81,1
CUST1595,67,Female,East,53385.48,3,62.3,3.8,2,0.56,2489.29,1
CUST1192,50,Female,North,54770.61,1,56.9,37.24,1,0.14,2278.49,1
CUST1635,36,Female,North,76572.01,0,70.7,23.71,4,0.27,4314.0,1
CUST1555,37,Male,North,44799.95,8,56.2,8.87,3,0.73,3818.16,1
CUST1399,48,Male,South,73515.57,11,81.1,8.72,1,0.75,2833.96,1
CUST1499,18,Female,North,91303.98,6,53.6,19.68,5,0.42,2716.61,1
CUST1169,60,Male,East,63256.78,4,39.9,2.82,4,0.07,1684.36,1
CUST1563,60,Female,North,101153.04,11,48.4,4.28,3,0.77,3805.12,1
CUST1053,43,Female,West,65549.9,11,49.2,8.31,5,0.84,2717.88,1
CUST1440,40,Male,South,40491.45,8,55.8,15.14,1,0.72,1981.61,1
CUST1711,44,Male,West,46401.76,2,43.9,1.64,4,0.57,2617.18,1
CUST1644,45,Female,South,75362.55,0,69.1,3.8,6,0.62,5882.45,1
CUST1151,32,Female,North,90711.86,3,44.6,12.58,3,0.89,3580.91,1
CUST1230,45,Male,West,62539.11,8,71.0,8.44,1,0.03,1984.17,1
CUST1633,39,Male,East,53526.69,1,,3.79,2,0.52,1867.51,1
CUST1417,26,F,West,-1.0,7,53.0,5.62,1,0.85,1162.1,1
CUST1567,18,Female,East,33640.45,4,65.2,2.68,3,0.3,2026.21,1
CUST1768,41,Male,South,49545.43,1,77.5,2.99,5,0.62,4833.94,1
CUST1188,28,Male,North,76865.0,1,48.7,7.31,6,0.76,4615.72,1
CUST1451,39,M,North,,6,61.5,5.66,7,0.21,2054.13,1
CUST1791,63,Female,South,53285.59,1,27.6,23.94,3,0.66,4197.46,1
CUST1185,61,Male,West,12887.33,11,76.6,2.6,7,0.34,4642.56,1
CUST1043,-24,Female,West,,7,53.7,17.55,2,0.52,2259.85,1
CUST1142,31,Male,East,51157.49,0,48.7,1.18,3,0.47,3270.54,1
CUST1477,67,Male,East,72017.38,1,43.4,2.05,2,0.72,5166.09,1
CUST1697,18,Male,West,-1.0,11,52.9,1.26,3,0.67,2849.59,1
CUST1386,63,Female,South,40654.87,6,63.6,10.39,3,0.7,2297.06,1
CUST1534,27,Female,North,68534.25,9,18.6,8.13,3,0.49,2238.0,1
CUST1769,45,Female,East,54375.34,4,69.1,6.84,4,0.48,1693.37,1
CUST1150,26,Male,North,90946.15,9,78.6,1.97,1,0.81,6142.42,1
CUST1067,57,Female,West,50764.26,11,71.7,13.35,2,0.21,3986.72,1
CUST1401,57,Female,South,48115.31,6,66.2,12.97,2,0.77,2095.92,1
CUST1382,54,Male,East,36173.57,7,41.9,3.1,3,0.53,1548.85,1
CUST1431,62,Female,North,72925.44,5,33.4,3.88,6,0.7,3146.17,1
CUST1347,29,Male,North,8592.12,0,,21.73,3,0.08,3661.43,1
CUST1584,43,Male,South,52858.04,2,67.9,1.73,3,0.41,3265.15,1
CUST1377,46,Female,West,49948.91,0,36.0,11.79,2,0.44,1118.28,0
CUST1613,66,Male,South,64398.17,1,84.0,39.33,2,0.11,2166.16,1
CUST1771,45,Female,North,60617.43,9,9.9,1.81,1,0.36,1602.61,0
CUST1313,28,Female,South,68463.65,3,63.1,20.87,1,0.18,1638.68,1
CUST1589,43,Female,North,68357.52,5,51.3,3.78,1,0.89,2071.43,1
CUST1131,54,Male,South,53658.86,5,65.9,35.29,2,0.1,2921.66,1
CUST1637,53,Male,West,110692.88,11,74.3,5.96,1,0.17,3788.57,1
CUST1283,40,Female,South,59289.33,1,67.0,,4,0.66,2813.01,1
CUST1682,30,Female,North,85901.78,5,25.9,8.04,3,0.05,3914.94,1
CUST1130,41,Female,South,87312.96,2,42.9,7.79,2,0.36,953.56,1
CUST1571,60,Male,North,71870.03,2,47.6,2.78,3,0.04,2936.38,1
CUST1301,26,Male,South,66221.19,0,59.1,7.77,1,0.13,2262.84,1
CUST1114,52,Male,South,62228.09,5,70.1,7.24,0,0.73,1979.7,1
CUST1354,-55,Male,South,67809.21,9,57.0,12.02,2,0.02,2920.71,1
CUST1339,65,Male,North,66210.4,1,65.8,5.95,4,0.84,4284.86,1
CUST1479,47,Female,East,67304.54,3,43.3,5.3,3,0.96,3386.94,1
CUST1669,46,Male,West,13155.77,2,14.0,17.51,4,0.28,1192.08,1
CUST1271,69,Male,North,16766.23,1,49.7,12.89,5,0.67,1878.83,1
CUST1790,30,Female,North,29844.67,5,62.9,1.06,0,0.53,1087.14,1
CUST1284,48,Male,South,44781.06,7,50.6,2.8,4,0.24,2455.91,1
CUST1129,40,Male,East,57613.67,1,80.6,12.07,1,0.81,2479.24,1
CUST1709,61,Female,East,46881.91,11,11.0,19.24,4,0.89,2788.46,1
CUST1536,53,Female,South,42482.41,0,48.0,12.85,3,0.73,3686.44,1
CUST1210,32,Male,West,8687.24,2,,9.0,4,0.63,1313.97,0
CUST1437,31,Female,West,45005.97,7,49.4,35.58,1,0.05,1223.7,1
CUST1529,53,Female,North,47819.94,11,84.9,24.73,3,0.71,4609.94,1
CUST1799,19,Male,South,57942.59,1,61.6,3.57,2,0.13,2712.8,1
CUST1040,20,Male,West,69820.35,8,18.7,1.29,3,0.3,2752.23,1
CUST1306,33,Male,West,59156.99,3,38.1,,4,0.56,1739.43,1
CUST1556,41,Male,East,75942.74,3,49.4,3.61,2,0.3,3808.04,1
CUST1204,54,Male,South,14593.55,6,53.9,4.45,3,0.54,3548.57,1
CUST1272,58,Female,South,,11,32.8,12.02,2,0.97,1645.14,1
CUST1008,36,Female,East,75763.57,11,52.6,1.41,1,0.3,3020.79,1
CUST1521,22,M,South,44291.97,4,31.2,1.44,4,0.39,2615.04,1
CUST1070,23,Male,West,30418.03,6,51.4,11.2,4,0.16,2763.36,1
CUST1656,38,Female,South,78704.98,8,28.3,10.17,1,0.71,2878.86,1
CUST1376,47,Male,North,60104.05,11,40.6,1.65,1,0.62,2676.21,0
CUST1007,56,Female,West,42799.85,6,49.3,14.65,5,0.83,3465.87,1
CUST1430,53,Female,North,51074.13,4,38.4,4.49,7,0.58,3712.75,1
CUST1765,25,Female,North,16174.35,8,87.4,1.24,3,0.84,4563.47,1
CUST1552,45,Female,North,46282.43,10,,6.05,4,0.81,1053.16,1
CUST1093,41,Female,North,40953.82,0,25.8,15.12,2,0.2,2632.36,1
CUST1359,44,Male,West,75575.19,1,69.5,7.93,3,0.47,3877.87,1
CUST1357,25,Female,South,51117.66,3,32.5,2.83,0,0.63,2263.66,0
CUST1079,53,Female,South,49831.48,9,62.2,11.85,3,0.78,3777.03,1
CUST1787,45,Male,North,61840.85,0,32.1,5.69,4,0.13,3208.17,1
CUST1049,42,Male,North,59096.84,1,37.4,13.26,3,0.45,1765.28,1
CUST1250,51,Male,West,51563.59,2,3.0,5.69,5,0.64,1804.18,1
CUST1147,31,Male,East,24672.3,7,47.8,5.63,2,0.11,1173.15,0
CUST1777,45,Male,East,58077.48,0,30.4,1.41,4,0.95,3591.01,0
CUST1057,64,Male,South,30311.39,1,57.3,6.07,4,0.32,2313.29,1
CUST1757,20,Male,North,72067.18,4,77.3,5.7,3,0.8,4184.35,1
